数据量,密码长度,串行(秒),2路SSE2(秒),4路SSE(秒),8路AVX2(秒),2路加速比,4路加速比,8路加速比
10000,16,0.0019,0.0018,0.0012,0.0010,1.05,1.66,1.95
10000,32,0.0019,0.0014,0.0013,0.0009,1.38,1.46,2.00
10000,64,0.0029,0.0020,0.0016,0.0014,1.44,1.79,2.12
10000,128,0.0037,0.0027,0.0019,0.0016,1.34,1.87,2.36
10000,256,0.0053,0.0041,0.0028,0.0021,1.31,1.90,2.55
50000,16,0.0098,0.0081,0.0058,0.0050,1.21,1.68,1.97
50000,32,0.0100,0.0086,0.0060,0.0055,1.16,1.67,1.82
50000,64,0.0146,0.0117,0.0082,0.0066,1.25,1.79,2.23
50000,128,0.0196,0.0160,0.0110,0.0086,1.23,1.79,2.27
50000,256,0.0279,0.0220,0.0158,0.0121,1.27,1.77,2.30
100000,16,0.0199,0.0168,0.0123,0.0102,1.18,1.63,1.95
100000,32,0.0211,0.0176,0.0124,0.0108,1.20,1.70,1.95
100000,64,0.0305,0.0254,0.0183,0.0151,1.20,1.67,2.02
100000,128,0.0406,0.0327,0.0244,0.0200,1.24,1.67,2.04
100000,256,0.0556,0.0443,0.0322,0.0253,1.25,1.72,2.20
250000,16,0.0539,0.0441,0.0316,0.0278,1.22,1.70,1.93
250000,32,0.0546,0.0451,0.0336,0.0301,1.21,1.63,1.82
250000,64,0.0771,0.0632,0.0462,0.0394,1.22,1.67,1.96
250000,128,0.1004,0.0818,0.0598,0.0496,1.23,1.68,2.02
250000,256,0.1377,0.1111,0.0796,0.0620,1.24,1.73,2.22
500000,16,0.1045,0.0868,0.0636,0.0565,1.20,1.64,1.85
500000,32,0.1082,0.0906,0.0673,0.0591,1.19,1.61,1.83
500000,64,0.1551,0.1253,0.0922,0.0792,1.24,1.68,1.96
500000,128,0.1985,0.1628,0.1187,0.0980,1.22,1.67,2.03
500000,256,0.2751,0.2218,0.1607,0.1254,1.24,1.71,2.19
